Archivo,Línea,Columna,Regla,Severidad,Mensaje
src/app/(app)/matrices/crear/page.tsx,455,28,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,457,22,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,457,48,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,458,48,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,461,28,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,463,22,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,463,48,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,464,48,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/matrices/crear/page.tsx,473,35,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/resultados-evaluaciones/graficos/page.tsx,71,40,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/resultados-evaluaciones/graficos/page.tsx,74,40,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/resultados-evaluaciones/graficos/page.tsx,123,47,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/resultados-evaluaciones/graficos/page.tsx,141,57,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/resultados-evaluaciones/graficos/page.tsx,178,51,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/(app)/resultados-evaluaciones/page.tsx,55,52,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/ejes/route.ts,14,18,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,122,25,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,153,28,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,166,42,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,205,62,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,222,39,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,275,34,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/[id]/route.ts,365,48,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/cargar-resultados/route.ts,50,40,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/cargar-resultados/route.ts,51,43,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,106,18,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,121,45,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,123,15,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,153,30,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,236,18,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,245,30,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/resultados/route.ts,265,61,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/route.ts,118,34,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/evaluaciones/route.ts,158,36,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/matrices/[id]/route.ts,131,32,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/matrices/[id]/route.ts,134,54,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/matrices/import-csv/route.ts,67,23,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/matrices/import-csv/route.ts,81,16,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/niveles/route.ts,77,56,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/planificaciones/[id]/route.ts,131,47,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/planificaciones/route.ts,99,45,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
src/app/api/profesores/[id]/route.ts,118,17,@typescript-eslint/no-explicit-any,Error,"Unexpected any. Specify a different type."
