id;nombre_metodologia;descripcion;nivel_recomendado;fuentes_literatura
1;Aprendizaje Basado en Proyectos (ABP);Los estudiantes adquieren conocimientos y habilidades mediante la elaboración de proyectos que responden a problemas reales, promoviendo el pensamiento crítico, la colaboración y la resolución de problemas.;Educación Básica y Media;- Elige Educar: 6 metodologías de enseñanza que todo profesor innovador debería conocer
2;Aula Invertida (Flipped Classroom);Los estudiantes estudian nuevos contenidos en casa mediante materiales proporcionados por el docente y utilizan el tiempo en clase para realizar actividades prácticas y resolver dudas, optimizando el tiempo de instrucción directa.;Educación Media y Superior;- Elige Educar: 6 metodologías de enseñanza que todo profesor innovador debería conocer
3;Aprendizaje Cooperativo;Estrategia en la que los estudiantes trabajan en pequeños grupos para alcanzar objetivos comunes, fomentando la interdependencia positiva, la responsabilidad individual y grupal, y el desarrollo de habilidades sociales.;Todos los niveles;- Elige Educar: 6 metodologías de enseñanza que todo profesor innovador debería conocer
4;Gamificación;Incorporación de elementos y dinámicas de juego en contextos educativos para aumentar la motivación, el compromiso y el aprendizaje de los estudiantes.;Educación Básica y Media;- Elige Educar: 6 metodologías de enseñanza que todo profesor innovador debería conocer
5;Design Thinking (Pensamiento de Diseño);Metodología centrada en el usuario que busca resolver problemas de manera creativa y colaborativa, fomentando la empatía, la definición de problemas, la ideación, la creación de prototipos y la evaluación.;Educación Media y Superior;- Elige Educar: 6 metodologías de enseñanza que todo profesor innovador debería conocer
6;Aprendizaje Basado en el Pensamiento (TBL);Enfocado en desarrollar habilidades de pensamiento crítico y analítico, enseñando a los estudiantes a contextualizar, analizar, relacionar y argumentar, más allá de la simple memorización de información.;Educación Media y Superior;- Elige Educar: 6 metodologías de enseñanza que todo profesor innovador debería conocer
7;Aprendizaje Basado en Problemas (ABP);Los estudiantes aprenden a través de la resolución de problemas complejos y reales, desarrollando habilidades de investigación, análisis y solución de problemas de manera autónoma y colaborativa.;Educación Media y Superior;- Universidad Central: Manual de apoyo docente: Metodologías Activas para el aprendizaje
8;Aprendizaje por Indagación;Método en el que los estudiantes construyen su conocimiento formulando preguntas, investigando y explorando, promoviendo la curiosidad y el pensamiento científico.;Educación Básica y Media;- Wikipedia: Aprendizaje basado en la indagación
9;Enseñanza Explícita;Estrategia estructurada y directa donde el docente presenta claramente los objetivos de aprendizaje, proporciona explicaciones y modela procedimientos, seguido de práctica guiada y retroalimentación.;Todos los niveles;- American Federation of Teachers: Principles of Instruction: Research-Based Strategies That All Teachers Should Know
10;Aceleración Cognitiva;Enfoque que busca desarrollar las habilidades de pensamiento de los estudiantes mediante desafíos cognitivos que promueven el razonamiento abstracto y la metacognición.;Educación Básica y Media;- Wikipedia: Aceleración cognitiva
11;Tutoría entre Iguales;Método en el que estudiantes más avanzados o con mayor dominio de un tema apoyan a sus compañeros en el aprendizaje, beneficiando tanto al tutor como al tutorizado.;Educación Básica y Media;- Currículum Nacional MINEDUC: Tutoría entre iguales: de la teoría a la práctica
12;Aprendizaje Autónomo;Fomenta que los estudiantes tomen responsabilidad de su propio aprendizaje, estableciendo metas, seleccionando estrategias y evaluando su progreso de manera independiente.;Educación Media y Superior;- Universidad Central: Manual de apoyo docente: Metodologías Activas para el aprendizaje
